((18, 41), 0.56)
((2, 25), 0.5640000000000001)
((10, 17), 0.5640000000000001)
((17, 36), 0.5640000000000001)
((18, 39), 0.5640000000000001)
((20, 33), 0.5640000000000001)
((14, 45), 0.5680000000000001)
((16, 58), 0.5680000000000001)
((18, 38), 0.5680000000000001)
((22, 27), 0.5680000000000001)
((1, 25), 0.5720000000000001)
((17, 19), 0.5720000000000001)
((19, 23), 0.5720000000000001)
((19, 49), 0.5720000000000001)
((22, 23), 0.5720000000000001)
((23, 33), 0.5720000000000001)
((32, 37), 0.5720000000000001)
((2, 46), 0.5760000000000001)
((8, 18), 0.5760000000000001)
((17, 48), 0.5760000000000001)
((17, 50), 0.5760000000000001)
((18, 53), 0.5760000000000001)
((19, 35), 0.5760000000000001)
((23, 27), 0.5760000000000001)
((14, 58), 0.5800000000000001)
((16, 43), 0.5800000000000001)
((17, 58), 0.5800000000000001)
((19, 24), 0.5800000000000001)
((22, 24), 0.5800000000000001)
((0, 25), 0.5840000000000001)
((12, 21), 0.5840000000000001)
((17, 43), 0.5840000000000001)
((20, 24), 0.5840000000000001)
((15, 44), 0.5880000000000001)
((17, 52), 0.5880000000000001)
((18, 30), 0.5880000000000001)
((18, 45), 0.5880000000000001)
((18, 47), 0.5880000000000001)
((14, 54), 0.5920000000000001)
((14, 56), 0.5920000000000001)
((17, 34), 0.5920000000000001)
((18, 40), 0.5920000000000001)
((20, 28), 0.5920000000000001)
((3, 28), 0.596)
((16, 45), 0.596)
((17, 53), 0.596)
((18, 34), 0.596)
((18, 51), 0.596)
((22, 33), 0.596)
((8, 28), 0.6)
((15, 18), 0.6)
((17, 54), 0.6)
((18, 43), 0.6)
((18, 54), 0.6)
((22, 28), 0.6)
((18, 44), 0.604)
((19, 28), 0.604)
((19, 42), 0.604)
((19, 53), 0.604)
((22, 31), 0.604)
((0, 21), 0.608)
((23, 24), 0.608)
((26, 35), 0.608)
((1, 21), 0.612)
((9, 12), 0.612)
((12, 25), 0.612)
((18, 46), 0.612)
((18, 49), 0.612)
((20, 27), 0.612)
((22, 36), 0.612)
((2, 21), 0.616)
((9, 21), 0.616)
((11, 18), 0.616)
((17, 39), 0.616)
((17, 44), 0.616)
((18, 31), 0.616)
((18, 57), 0.616)
((20, 38), 0.616)
((23, 30), 0.616)
((30, 33), 0.616)
((3, 18), 0.62)
((3, 25), 0.62)
((8, 25), 0.62)
((19, 36), 0.62)
((19, 41), 0.62)
((24, 30), 0.62)
((10, 28), 0.624)
((11, 28), 0.624)
((14, 18), 0.624)
((17, 18), 0.624)
((18, 48), 0.624)
((21, 35), 0.624)
((10, 25), 0.628)
((11, 25), 0.628)
((17, 23), 0.628)
((19, 38), 0.628)
((19, 43), 0.628)
((19, 50), 0.628)
((18, 25), 0.632)
((27, 31), 0.632)
((4, 25), 0.636)
((10, 18), 0.636)
((14, 28), 0.636)
((17, 25), 0.636)
((18, 52), 0.636)
((20, 34), 0.636)
((15, 28), 0.64)
((16, 28), 0.64)
((18, 42), 0.64)
((18, 58), 0.64)
((27, 30), 0.64)
((27, 33), 0.64)
((27, 35), 0.64)
((29, 32), 0.64)
((6, 21), 0.644)
((18, 23), 0.644)
((19, 57), 0.644)
((20, 36), 0.644)
((22, 35), 0.644)
((24, 34), 0.644)
((31, 34), 0.644)
((2, 31), 0.648)
((14, 25), 0.648)
((18, 56), 0.648)
((19, 56), 0.648)
((10, 21), 0.652)
((19, 52), 0.652)
((25, 35), 0.652)
((27, 36), 0.652)
((33, 34), 0.652)
((15, 25), 0.656)
((23, 25), 0.656)
((25, 32), 0.656)
((28, 34), 0.656)
((30, 31), 0.656)
